code,idgrade,mean_dropout
1301209,5,3.35
1301209,9,10.775
1301308,5,2.82
1301308,9,8.0875
1301407,5,9.945
1301407,9,12.4125
1301506,5,7.165000000000001
1301506,9,5.4875
1301605,5,2.78
1301605,9,6.93125
1301654,5,7.65
1301654,9,7.037500000000001
1301704,5,2.67
1301704,9,7.8875
1301803,5,7.355000000000001
1301803,9,6.931249999999999
1301852,5,3.53
1301852,9,7.256250000000001
1301902,5,3.17
1301902,9,8.362500000000001
1301951,5,4.875
1301951,9,10.76875
1302009,5,1.72
1302009,9,7.274999999999999
1302108,5,2.535
1302108,9,8.581249999999999
1302207,5,4.665
1302207,9,7.018750000000001
1302306,5,7.18
1302306,9,7.95
1302405,5,5.744999999999999
1302405,9,9.556250000000002
1302504,5,2.82
1302504,9,6.674999999999999
1302553,5,1.85
1302553,9,8.8375
1302603,5,1.93
1302603,9,6.331250000000001
1302702,5,3.255
1302702,9,8.625
1302801,5,4.82
1302801,9,10.78125
1302900,5,5.944999999999999
1302900,9,16.44375
1303007,5,2.240000000000001
1303007,9,5.262500000000001
1303106,5,5.775
1303106,9,13.6375
1303205,5,4.275
1303205,9,6.600000000000001
1303304,5,3.055
1303304,9,5.6
1303403,5,1.125
1303403,9,3.5625
1303502,5,8.579999999999998
1303502,9,7.99375
1303536,5,2.54
1303536,9,6.58125
1303569,5,2.45
1303569,9,6.124999999999999
1303601,5,10.345
1303601,9,9.9625
1303700,5,5.225000000000001
1303700,9,8.11875
1303809,5,6.165
1303809,9,10.13125
1303908,5,10.61
1303908,9,10.79375
1303957,5,2.19
1303957,9,8.362500000000001
1304005,5,1.68
1304005,9,7.31875
1304062,5,4.234999999999999
1304062,9,8.6625
1304104,5,7.895
1304104,9,6.3
1304203,5,3.13
1304203,9,6.26875
1304237,5,5.22
1304237,9,7.512499999999999
1304260,5,9.300000000000001
1304260,9,13.64375
1304302,5,1.745
1304302,9,3.7
1304401,5,3.04
1304401,9,7.887499999999999
1400027,5,8.324999999999999
1400027,9,10.9
1400050,5,6.83
1400050,9,5.9625
1400100,5,1
1400100,9,4.318750000000001
1400159,5,2.94
1400159,9,9.56875
1400175,5,2.515
1400175,9,6.68125
1400209,5,4.055000000000001
1400209,9,7.818749999999999
1400233,5,1.78
1400233,9,5.8375
1400282,5,6.795
1400282,9,5.174999999999999
1400308,5,1.07
1400308,9,4.71875
1400407,5,2.885
1400407,9,7.60625
1400456,5,2.36
1400456,9,6.2
1400472,5,1.87
1400472,9,7.2625
1400506,5,1.06
1400506,9,5.068749999999999
1400605,5,.8
1400605,9,3.956249999999999
1400704,5,6.195
1400704,9,11.2125
1500107,5,2.04
1500107,9,5.54375
1500131,5,2.09
1500131,9,6.537499999999999
1500206,5,4.504999999999999
1500206,9,7.55
1500305,5,13.76
1500305,9,18.74375
1500347,5,4.77
1500347,9,10.35625
1500404,5,3.515000000000001
1500404,9,10.50625
1500503,5,4.275
1500503,9,8.562500000000002
1500602,5,5.465
1500602,9,7.249999999999999
1500701,5,4.720000000000001
1500701,9,15.6625
1500800,5,3.73
1500800,9,5.568749999999999
1500859,5,6.88
1500859,9,14.0625
1500909,5,1.85
1500909,9,7.643750000000002
1500958,5,4.715
1500958,9,9.737500000000001
1501006,5,4.124999999999999
1501006,9,11.24375
1501105,5,5.895
1501105,9,10.79375
1501204,5,7.565
1501204,9,8.34375
1501253,5,8.934999999999999
1501253,9,12.85625
1501303,5,2.32
1501303,9,6.318750000000001
1501402,5,3.895
1501402,9,5.387499999999999
1501451,5,1.53
1501451,9,6.725000000000001
1501501,5,3.390000000000001
1501501,9,7.512500000000001
1501576,5,4.44
1501576,9,10.20625
1501600,5,4.290000000000001
1501600,9,11.0625
1501709,5,1.96
1501709,9,6.350000000000001
1501725,5,5.675
1501725,9,9.362500000000001
1501758,5,2.855
1501758,9,7.337500000000001
1501782,5,2.64
1501782,9,8.881250000000001
1501808,5,6.959999999999998
1501808,9,15
1501907,5,5.11
1501907,9,7.55
1501956,5,3.505
1501956,9,13.45625
1502004,5,5.034999999999999
1502004,9,11.7875
1502103,5,3.83
1502103,9,8.762499999999999
1502152,5,2.045
1502152,9,5.981250000000001
1502202,5,3.605
1502202,9,6.225
1502301,5,5.180000000000001
1502301,9,9.099999999999998
1502400,5,2.435
1502400,9,5.5625
1502509,5,13.49
1502509,9,20.04375
1502608,5,3.314999999999999
1502608,9,6.625000000000001
1502707,5,2.97
1502707,9,8.950000000000001
1502756,5,15.445
1502756,9,9.893750000000001
1502764,5,4.305
1502764,9,12.7875
1502772,5,2.3
1502772,9,6.362499999999999
1502806,5,4.82
1502806,9,13.79375
1502855,5,5.51
1502855,9,10.0125
1502905,5,4.105
1502905,9,8.4125
1502939,5,2.095
1502939,9,8.375
1502954,5,3.315
1502954,9,8
1503002,5,3.46
1503002,9,8.262499999999999
1503044,5,1.845
1503044,9,8.93125
1503077,5,6
1503077,9,10.6875
1503093,5,3.78
1503093,9,8.3125
1503101,5,8.639999999999999
1503101,9,17.2875
1503200,5,4.555
1503200,9,8.075000000000001
1503309,5,2.99
1503309,9,9.11875
1503408,5,3.395
1503408,9,7.462499999999999
1503457,5,3.37
1503457,9,6.149999999999999
1503507,5,2.46
1503507,9,6.4125
1503606,5,4.595000000000001
1503606,9,7.83125
1503705,5,9.279999999999999
1503705,9,13.76875
1503754,5,12.41
1503754,9,19.8
1503804,5,2.745
1503804,9,8.3125
1503903,5,2.095
1503903,9,6.69375
1504000,5,4.275
1504000,9,10.50625
1504059,5,2.254999999999999
1504059,9,6.518750000000001
