numero,categoria_profissional,localizacao_geografica,empregador_trabalhadores,abrangencia,alvo_esfera,inicio,dias,carater1,carater2,carater3
16821,Auxiliares de Administração Escolar Rede Municipal,Contagem/MG,,categoria,poder executivo/municipal,3/6/1990,10,propositiva,-,-
16833,Professores Rede Municipal,Vitória/ES,,categoria,poder executivo/municipal,4/9/2003,3,propositiva,defensiva,-
16876,"Auxiliares de Administração Escolar Rede Estadual, Professores Rede Estadual",MS,,categoria,poder executivo/estadual,5/12/2003,9,propositiva,-,-
16877,Auxiliares de Administração Escolar Rede Municipal,São José dos Campos/SP,,categoria,poder executivo/municipal,5/12/2003,1,propositiva,-,-
16879,Professores Rede Estadual Ensino Técnico-Profissional,SP,,categoria,poder executivo/estadual,5/22/2003,1,propositiva,-,protesto
16880,Professores Rede Municipal,Major Isidoro/AL,,categoria,poder executivo/municipal,5/2/2003,7,propositiva,-,-
16881,Professores Rede Municipal,Recife/PE,,categoria,poder executivo/municipal,5/12/2003,17,propositiva,defensiva,-
16882,Professores Rede Municipal,Mombaça/CE,,categoria,poder executivo/municipal,5/7/2003,7,propositiva,-,-
16883,Professores Rede Estadual,SP,,categoria,poder executivo/estadual,5/15/2003,1,propositiva,-,-
16884,Professores Rede Municipal ,São Paulo/SP,,categoria,poder executivo/municipal,5/15/2003,1,propositiva,-,-
16930,Professores Rede Estadual,PI,,categoria,poder executivo/estadual,8/24/1990,123,propositiva,defensiva,-
16934,"Auxiliares de Administração Escolar Rede Estadual, Professores Rede Estadual",Aracaju/SE,,categoria,poder executivo/estadual,5/19/2003,2,propositiva,-,-
16935,"Auxiliares de Administração Escolar Rede Estadual, Professores Rede Estadual",RJ,,categoria,poder executivo/estadual,5/16/2003,1,propositiva,defensiva,-
16936,Professores Rede Municipal,Vitória de Santo Antão/PE,,categoria,poder executivo/municipal,5/21/2003,1,propositiva,-,-
16938,Professores Rede Estadual,PE,,categoria,poder executivo/estadual,5/14/2003,23,propositiva,-,protesto
16941,Professores Rede Municipal,Vicência/PE,,categoria,poder executivo/municipal,5/21/2003,1,propositiva,-,-
16942,Professores Rede Municipal,São Lourenço da Mata/PE,,categoria,poder executivo/municipal,5/21/2003,1,propositiva,-,-
16943,Professores Rede Municipal,Passira/PE,,categoria,poder executivo/municipal,5/21/2003,1,propositiva,-,-
16944,Professores Rede Municipal,Vertentes/PE,,categoria,poder executivo/municipal,5/21/2003,1,propositiva,-,-
16945,Professores Rede Municipal,Paulista/PE,,categoria,poder executivo/municipal,5/21/2003,14,propositiva,-,-
16950,Professores Rede Municipal,Maceió/AL,,categoria,poder executivo/municipal,5/23/2003,1,propositiva,-,-
16952,Professores Rede Municipal,Maceió/AL,,categoria,poder executivo/municipal,6/5/2003,33,propositiva,-,-
16953,Professores Rede Estadual,AL,,categoria,poder executivo/estadual,6/5/2003,5,propositiva,-,-
16956,Professores Rede Estadual,RN,,categoria,poder executivo/estadual,6/2/2003,31,propositiva,-,-
16957,Professores Rede Estadual Ensino Superior,RN,UERN - UNIVERSIDADE ESTADUAL DO RIO GRANDE DO NORTE,categoria,poder executivo/estadual,6/6/2003,5,propositiva,defensiva,-
16964,Professores Rede Municipal ,Juiz de Fora/MG,,categoria,poder executivo/municipal,6/27/2003,1,propositiva,-,-
16965,Professores Rede Municipal,Vitória da Conquista/BA,,categoria,poder executivo/municipal,6/4/2003,34,propositiva,defensiva,protesto
16966,Professores Rede Municipal,Brumado/BA,,categoria,poder executivo/municipal,6/4/2003,1,propositiva,-,-
16984,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Goiânia/GO,,categoria,poder executivo/municipal,6/3/2003,24,propositiva,-,-
16998,Auxiliares de Administração Escolar Rede Estadual Ensino Superior,Campinas/SP,UNICAMP - UNIVERSIDADE ESTADUAL DE CAMPINAS,categoria,poder executivo/estadual,5/5/2003,1,-,-,protesto
17009,Professores Rede Federal Ensino Superior,São Carlos/SP,UFSCAR - UNIVERSIDADE FEDERAL DE SÃO CARLOS,categoria,poder executivo/federal,6/9/2003,2,propositiva,-,protesto
17035,Professores Rede Estadual,PB,,categoria,poder executivo/estadual,7/29/2003,1,propositiva,-,-
17043,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Fortaleza/CE,,categoria,poder executivo/municipal,8/4/2003,37,propositiva,-,protesto
17055,Professores Rede Municipal,PA,,categoria,poder executivo/municipal,8/18/2003,8,-,defensiva,-
17057,Professores Rede Estadual,CE,,categoria,poder executivo/estadual,8/18/2003,1,-,defensiva,-
17058,Professores Rede Municipal,Natal/RN,,categoria,poder executivo/municipal,8/14/2003,9,propositiva,-,-
17060,"Auxiliares de Administração Escolar Rede Estadual, Professores Rede Estadual",GO,,categoria,poder executivo/estadual,9/21/2003,3,propositiva,defensiva,-
17069,Professores Rede Estadual,RO,,categoria,poder executivo/estadual,9/29/2003,5,propositiva,-,-
17095,"Auxiliares de Administração Escolar Rede Estadual, Professores Rede Estadual",MT,,categoria,poder executivo/estadual,11/10/2003,1,propositiva,-,-
17113,Professores Rede Municipal,Girau do Ponciano/AL,,categoria,poder executivo/municipal,10/30/2003,71,-,defensiva,-
17117,Professores Rede Estadual Ensino Superior,PI,UESPI - UNIVERSIDADE ESTADUAL DO PIAUÍ,categoria,poder executivo/estadual,8/25/2003,57,propositiva,-,protesto
