numero,categoria_profissional,localizacao_geografica,empregador_trabalhadores,abrangencia,alvo_esfera,inicio,dias,carater1,carater2,carater3
37978,Professores Rede Municipal,Linhares/ES,,categoria,poder executivo/municipal,5/5/2014,25,propositiva,-,-
37989,Auxiliares de Administração Escolar Rede Estadual,SE,,categoria,poder executivo/estadual,6/6/2014,1,propositiva,defensiva,-
37990,Auxiliares de Administração Escolar Rede Estadual,SE,,categoria,poder executivo/municipal,6/9/2014,1,propositiva,defensiva,protesto
37998,Professores Rede Municipal,Taboão da Serra/SP,,categoria,poder executivo/municipal,5/27/2014,1,propositiva,-,-
38002,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Abaetetuba/PA,,categoria,poder executivo/federal,5/14/2014,27,propositiva,defensiva,-
38004,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Petrópolis/RJ,,categoria,poder executivo/municipal,6/4/2014,2,propositiva,defensiva,-
38014,Professores Rede Municipal,Pinheiral/RJ,,categoria,poder executivo/municipal,6/3/2014,1,propositiva,defensiva,-
38015,Professores Rede Municipal,Arapiraca/AL,,categoria,poder executivo/municipal,6/3/2014,2,propositiva,-,-
38016,Professores Rede Municipal,Taboão da Serra/SP,,categoria,poder executivo/municipal,6/3/2014,1,propositiva,-,-
38024,Professores Rede Municipal,Feira Grande/AL,,categoria,poder executivo/municipal,6/1/2014,9,-,-,-
38030,Professores Rede Municipal,Goiânia/GO,,categoria,poder executivo/municipal,5/26/2014,40,-,defensiva,-
38048,Professores Rede Municipal,Alto Garças/MT,,categoria,poder executivo/municipal,6/6/2014,15,propositiva,defensiva,protesto
38081,Rede Pública Federal de ENSINO,SE,Universidade Federal SE,categoria,poder executivo/federal,6/3/2014,28,propositiva,-,-
38082,Auxiliares de Administração Escolar Rede Estadual Ensino Superior,Campos dos Goytacazes/RJ,Universidade Estadual do Norte Fluminense Darcy Ribeiro,categoria,poder executivo/estadual,6/30/2014,1,propositiva,-,-
38098,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Gravataí/RS,,categoria,poder executivo/municipal,6/12/2014,5,propositiva,-,-
38109,Professores Rede Municipal,Tubarão/SC,,categoria,poder executivo/municipal,7/2/2014,1,-,defensiva,-
38114,Professores Rede Municipal,Várzea Grande/MT,,categoria,poder executivo/municipal,6/6/2014,5,-,defensiva,-
38115,Professores Rede Municipal,Guaratinga/BA,,categoria,poder executivo/municipal,7/8/2014,2,-,defensiva,-
38116,Professores Rede Municipal,São José de Caiana/PB,,categoria,poder executivo/municipal,7/7/2014,1,-,defensiva,-
38119,"Professores Rede Estadual, Professores Rede Municipal",RJ,,categoria,"poder executivo/estadual, poder executivo/municipal",7/7/2014,1,propositiva,defensiva,-
38134,Professores Rede Estadual,São José da Lagoa Tapada/PB,,categoria,poder executivo/estadual,7/9/2014,1,-,defensiva,-
38136,Professores Rede Municipal,Itaporã/MS,,categoria,poder executivo/municipal,7/15/2014,1,propositiva,defensiva,-
38143,Professores Rede Municipal,Canindé/CE,,categoria,poder executivo/municipal,7/14/2014,18,propositiva,-,-
38147,Professores Rede Municipal,Lagarto/SE,,categoria,poder executivo/municipal,7/21/2014,10,propositiva,-,-
38148,Professores Rede Municipal,Tanque d'Arca/AL,,categoria,poder executivo/municipal,7/7/2014,15,propositiva,-,-
38150,Professores Rede Municipal,Sinop/MT,,categoria,poder executivo/municipal,7/21/2014,53,propositiva,-,-
38151,Professores Rede Municipal,Barão de Melgaço/MT,,categoria,poder executivo/municipal,7/25/2014,65,propositiva,-,-
38152,Professores Rede Municipal,Barra do Bugres/MT,,categoria,poder executivo/municipal,7/1/2014,36,propositiva,-,-
38153,Professores Rede Municipal,Porto Estrela/MT,,categoria,poder executivo/municipal,7/20/2014,17,propositiva,-,-
38157,Professores Rede Municipal,Guarujá/SP,,categoria,poder executivo/municipal,7/21/2014,18,propositiva,-,-
38158,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Dourados/MS,,categoria,poder executivo/municipal,7/15/2014,18,propositiva,defensiva,-
38169,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Igarapé/MG,,categoria,poder executivo/municipal,7/14/2014,5,propositiva,defensiva,-
38170,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Igarapé/MG,,categoria,poder executivo/municipal,6/4/2014,25,propositiva,defensiva,-
38172,Professores Rede Municipal,Tarauacá/AC,,categoria,poder executivo/municipal,7/14/2014,3,propositiva,-,-
38173,Professores Rede Municipal,Tarauacá/AC,,categoria,poder executivo/municipal,7/6/2014,5,propositiva,-,-
38179,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Jundiaí/SP,Empregador não identificado,categoria,poder executivo/municipal,7/23/2014,4,propositiva,-,-
38191,Professores Rede Municipal,Lagoa da Canoa/AL,,categoria,poder executivo/municipal,6/6/2014,50,propositiva,-,-
38196,Professores Rede Municipal,Vitória de Santo Antão/PE,,categoria,poder executivo/municipal,7/28/2014,1,propositiva,defensiva,-
38198,Professores Rede Estadual Ensino Superior,MG,Universidade MG - UEMG,categoria,poder executivo/estadual,7/28/2014,1,-,defensiva,-
38200,Professores Rede Municipal,Água Branca/AL,,categoria,poder executivo/municipal,7/1/2014,32,-,defensiva,-
38203,Professores Rede Municipal,Uberlândia/MG,,categoria,poder executivo/municipal,8/1/2014,1,propositiva,-,-
38204,Professores Rede Municipal,Fortaleza/CE,,categoria,poder executivo/municipal,8/1/2014,5,propositiva,defensiva,-
38205,Professores Rede Municipal,São João do Piauí/PI,,categoria,poder executivo/municipal,7/31/2014,1,-,-,-
38206,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Mucambo/CE,,categoria,poder executivo/municipal,7/31/2014,7,propositiva,-,-
38207,Professores Rede Municipal,Crato/CE,,categoria,poder executivo/municipal,7/30/2014,40,propositiva,defensiva,-
38208,Rede Pública Federal de ENSINO,Lagarto/SE,Universidade Federal SE,categoria,poder executivo/federal,7/31/2014,21,-,-,-
38212,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",José de Freitas/PI,,categoria,poder executivo/municipal,8/4/2014,1,-,defensiva,-
38214,Professores Rede Municipal,Brejo da Madre de Deus/PE,,categoria,poder executivo/municipal,8/4/2014,1,-,-,-
38219,Auxiliares de Administração Escolar Rede Federal Ensino Superior,SC,UFSC - UNIVERSIDADE FEDERAL DE SANTA CATARINA,categoria,poder executivo/federal,8/6/2014,1,propositiva,-,-
38232,Professores Rede Estadual Ensino Superior,MG,Universidade MG - UEMG,categoria,poder executivo/estadual,8/8/2014,1,-,defensiva,-
38233,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Paracambi/RJ,,categoria,poder executivo/municipal,6/5/2014,1,propositiva,-,-
38237,Professores Rede Municipal,Curitiba/PR,,categoria,poder executivo/municipal,8/11/2014,1,propositiva,-,-
38238,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Cruzeiro do Sul/AC,,categoria,poder executivo/municipal,6/4/2014,3,propositiva,-,-
38261,Professores Rede Estadual,PI,,categoria,poder executivo/estadual,8/14/2014,1,propositiva,defensiva,protesto
38270,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Maribondo/AL,Empregador não identificado,categoria,poder executivo/municipal,7/18/2014,29,propositiva,defensiva,-
38273,Professores Rede Estadual Ensino Superior,Montes Claros/MG,Universidade Estadual de Montes Claros,categoria,poder executivo/estadual,8/14/2014,5,-,-,protesto
38275,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Santo Antônio do Leverger/MT,,categoria,poder executivo/municipal,8/15/2014,1,-,defensiva,-
38278,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Acrelândia/AC,,categoria,poder executivo/municipal,8/12/2014,1,-,defensiva,-
38284,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Cristalândia/TO,,categoria,poder executivo/municipal,7/23/2014,37,propositiva,defensiva,-
38296,Professores Rede Municipal,Piritiba/BA,,categoria,poder executivo/municipal,4/10/2015,1,propositiva,defensiva,-
38303,Professores Rede Municipal,Ipirá/BA,,categoria,poder executivo/municipal,8/19/2014,1,propositiva,defensiva,protesto
38308,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Santarém/PA,Empregador não identificado,categoria,poder executivo/municipal,8/20/2014,1,-,defensiva,protesto
38311,Professores Rede Municipal,Arraial do Cabo/RJ,,categoria,poder executivo/municipal,8/20/2014,2,propositiva,-,-
38313,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Davinópolis/MA,,categoria,poder executivo/municipal,7/28/2014,38,propositiva,-,-
38320,Professores Rede Municipal,Cabo Frio/RJ,Empregador não identificado,categoria,poder executivo/municipal,4/13/2015,1,-,defensiva,-
38321,"Auxiliares de Administração Escolar Rede Estadual Ensino Superior, Professores Rede Estadual Ensino Superior",Londrina/PR,UEL - UNIVERSIDADE ESTADUAL DE LONDRINA,categoria,poder executivo/estadual,4/14/2015,1,-,-,protesto
38326,Professores Rede Municipal,Candeias/BA,,categoria,poder executivo/municipal,4/14/2015,1,-,defensiva,-
38333,Auxiliares de Administração Escolar Rede Estadual Ensino Superior,SE,,categoria,poder executivo/estadual,8/27/2014,1,propositiva,defensiva,protesto
38335,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Petrópolis/RJ,,categoria,poder executivo/municipal,8/27/2014,1,propositiva,defensiva,-
38339,Professores Rede Municipal,Iranduba/AM,,categoria,poder executivo/municipal,6/25/2014,2,propositiva,defensiva,protesto
38344,Professores Rede Municipal,Nossa Senhora do Livramento/MT,,categoria,poder executivo/municipal,4/14/2015,1,propositiva,-,-
38345,Professores Rede Municipal,João Pessoa/PB,,categoria,poder executivo/municipal,3/16/2015,30,propositiva,-,-
38346,Professores Rede Municipal,Macapá/AP,,categoria,poder executivo/municipal,4/15/2015,48,propositiva,-,-
38352,Professores Rede Municipal,Goiânia/GO,,categoria,poder executivo/municipal,4/14/2015,38,propositiva,defensiva,-
38354,Professores Rede Municipal,São Vicente/SP,,categoria,poder executivo/municipal,8/26/2014,1,-,defensiva,-
38357,Professores Rede Estadual Ensino Superior,PR,"UEL - UNIVERSIDADE ESTADUAL DE LONDRINA, UNIOESTE - UNIVERSIDADE DO OESTE DO PARANÁ, Universidade Estadual do Paraná (Unespar), Universidade Estadual do Norte do Paraná (Uenp)",categoria,poder executivo/estadual,4/14/2015,1,-,-,protesto
38358,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Nova Viçosa/BA,,categoria,poder executivo/municipal,8/22/2014,1,-,defensiva,protesto
38366,Professores Rede Municipal,Feira Grande/AL,,categoria,poder executivo/municipal,4/16/2015,1,propositiva,defensiva,-
38370,Professores Rede Municipal,Barão de Melgaço/MT,,categoria,poder executivo/municipal,3/19/2015,43,propositiva,-,-
38378,Professores Rede Estadual,PR,,categoria,poder executivo/estadual,8/29/2014,1,propositiva,defensiva,-
38386,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Petrópolis/RJ,,categoria,poder executivo/municipal,9/2/2014,3,propositiva,defensiva,-
38398,Professores Rede Municipal,Arraial do Cabo/RJ,,categoria,poder executivo/municipal,9/2/2014,3,propositiva,-,-
38401,Professores Rede Municipal,Uirapuru/GO,,categoria,poder executivo/municipal,9/3/2014,1,-,-,protesto
38413,Professores Rede Estadual Ensino Superior,PA,UEPA - UNIVERSIDADE ESTADUAL DO PARÁ,categoria,poder executivo/estadual,4/1/2015,33,propositiva,defensiva,-
38414,Professores Rede Federal Ensino Técnico-Profissional,MG,Colégio Técnico da Universidade Federal de Minas Gerais - Coltec,categoria,poder executivo/federal,4/17/2015,7,-,defensiva,-
38415,Professores Rede Municipal,Santa Terezinha/MT,,categoria,poder executivo/municipal,4/15/2015,36,propositiva,-,-
38417,Professores Rede Estadual Ensino Superior,PR,"UEL - UNIVERSIDADE ESTADUAL DE LONDRINA, UNIOESTE - UNIVERSIDADE DO OESTE DO PARANÁ, Universidade Estadual do Paraná (Unespar), Universidade Estadual do Norte do Paraná (Uenp)",categoria,poder executivo/estadual,4/22/2015,1,-,-,protesto
38421,Professores Rede Federal Ensino Superior,PI,UFPI - UNIVERSIDADE FEDERAL DO PIAUÍ,categoria,poder executivo/federal,4/23/2015,1,propositiva,-,-
38423,Professores Rede Municipal,Valença/BA,,categoria,poder executivo/municipal,4/22/2015,1,propositiva,-,-
38424,Professores Rede Estadual,RS,,categoria,poder executivo/estadual,4/24/2015,1,propositiva,defensiva,-
38426,Auxiliares de Administração Escolar Rede Estadual Ensino Superior,Presidente Prudente/SP,UNESP - UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,categoria,poder executivo/estadual,4/24/2015,1,propositiva,-,-
38427,Professores Rede Municipal,Dormentes/PE,,categoria,poder executivo/municipal,4/24/2015,1,propositiva,-,-
38430,Professores Rede Municipal,Forquilhinha/SC,,categoria,poder executivo/municipal,4/23/2015,1,propositiva,-,-
38438,Professores Rede Municipal,Itabuna/BA,,categoria,poder executivo/municipal,9/9/2014,1,-,defensiva,-
38443,Professores Rede Municipal,Várzea Nova/BA,,categoria,poder executivo/municipal,9/9/2014,1,-,-,protesto
38449,Professores Rede Municipal,Capela do Alto Alegre/BA,,categoria,poder executivo/municipal,4/20/2015,9,propositiva,-,-
38454,Professores Rede Municipal,Araraquara/SP,Empregador não identificado,categoria,poder executivo/municipal,4/24/2015,1,-,defensiva,-
38463,Auxiliares de Administração Escolar Rede Estadual,PI,,categoria,poder executivo/estadual,4/27/2015,8,propositiva,defensiva,-
38472,Professores Rede Municipal ,Natividade/RJ,,categoria,poder executivo/municipal,4/27/2015,1,propositiva,-,-
38475,Professores Rede Municipal,Betim/MG,,categoria,poder executivo/municipal,4/28/2015,1,propositiva,defensiva,-
38477,Professores Rede Municipal,São Paulo/SP,,categoria,poder executivo/municipal,4/28/2015,1,propositiva,-,-
38480,Professores Rede Municipal,Novo Hamburgo/RS,,categoria,poder executivo/municipal,4/29/2015,31,propositiva,defensiva,-
38490,Professores Rede Municipal,Juazeiro do Norte/CE,,categoria,poder executivo/municipal,2/26/2015,63,propositiva,-,-
38497,Professores Rede Municipal,Quedas do Iguaçu/PR,,categoria,poder executivo/municipal,4/9/2018,22,propositiva,-,-
38498,Professores Rede Municipal,Nhamundá/AM,,categoria,poder executivo/municipal,4/11/2018,1,propositiva,defensiva,protesto
38499,Professores Rede Municipal,Colíder/MT,,categoria,poder executivo/municipal,3/26/2018,16,propositiva,defensiva,-
38502,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Itiúba/BA,,categoria,poder executivo/municipal,4/4/2018,15,-,defensiva,-
38503,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Mineiros/GO,,categoria,poder executivo/municipal,2/28/2018,1,propositiva,defensiva,-
38504,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Mineiros/GO,,categoria,poder executivo/municipal,4/11/2018,1,propositiva,defensiva,-
38505,Professores Rede Municipal,Iaçu/BA,,categoria,poder executivo/municipal,4/24/2018,1,-,defensiva,-
38506,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",São Domingos do Araguaia/PA,,categoria,poder executivo/municipal,4/18/2018,17,-,defensiva,protesto
38507,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",São Domingos do Araguaia/PA,,categoria,poder executivo/municipal,1/22/2018,2,-,defensiva,-
38510,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Francisco Morato/SP,,categoria,poder executivo/municipal,4/23/2018,1,propositiva,defensiva,protesto
38512,Professores Rede Municipal,Conde/BA,,categoria,poder executivo/municipal,5/9/2018,1,propositiva,-,-
38514,Professores Rede Municipal,Eunápolis/BA,,categoria,poder executivo/municipal,5/8/2018,1,propositiva,defensiva,protesto
38517,Professores Rede Estadual,PB,,categoria,poder executivo/estadual,4/1/2015,30,propositiva,-,-
38518,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Confresa/MT,,categoria,poder executivo/municipal,5/8/2018,1,propositiva,defensiva,-
38526,Professores Rede Municipal,Propriá/SE,,categoria,poder executivo/municipal,9/11/2014,7,-,defensiva,-
38527,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Anápolis/GO,,categoria,poder executivo/municipal,5/7/2018,5,propositiva,defensiva,-
38529,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Imperatriz/MA,,categoria,poder executivo/municipal,5/10/2018,1,propositiva,defensiva,-
38535,Professores Rede Estadual Ensino Superior,BA,,categoria,poder executivo/estadual,9/17/2014,3,-,-,protesto
38536,Professores Rede Municipal,Pindaré-Mirim/MA,,categoria,poder executivo/municipal,1/25/2018,55,propositiva,defensiva,protesto
38537,Professores Rede Municipal,Pindaré-Mirim/MA,,categoria,poder executivo/municipal,4/13/2018,11,-,defensiva,protesto
38538,Professores Rede Municipal,Pedra Preta/MT,,categoria,poder executivo/municipal,3/21/2018,2,propositiva,defensiva,protesto
38539,Professores Rede Municipal,Pedra Preta/MT,,categoria,poder executivo/municipal,2/1/2018,1,propositiva,defensiva,protesto
38540,Professores Rede Municipal,Pedra Preta/MT,,categoria,poder executivo/municipal,4/23/2018,2,propositiva,defensiva,protesto
38541,Professores Rede Municipal,Parauapebas/PA,,categoria,poder executivo/municipal,5/3/2018,19,propositiva,defensiva,protesto
38545,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Cocalinho/MT,,categoria,poder executivo/municipal,4/27/2018,1,-,defensiva,-
38546,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Casimiro de Abreu/RJ,,categoria,poder executivo/municipal,5/16/2018,1,propositiva,-,-
38548,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Lucas do Rio Verde/MT,,categoria,poder executivo/municipal,6/14/2018,6,propositiva,-,-
38549,Professores Rede Municipal,Juiz de Fora/MG,,categoria,poder executivo/municipal,6/14/2018,15,propositiva,defensiva,-
38551,Professores Rede Municipal,Anajatuba/MA,,categoria,poder executivo/municipal,5/30/2018,1,propositiva,defensiva,-
38552,Professores Rede Municipal,Aparecida de Goiânia/GO,,categoria,poder executivo/municipal,5/4/2015,51,propositiva,defensiva,-
38553,Professores Rede Municipal,Pedra Branca do Amapari/AP,,categoria,poder executivo/municipal,5/17/2018,1,propositiva,defensiva,protesto
38567,Professores Rede Municipal,São Domingos do Araguaia/PA,,categoria,poder executivo/municipal,5/29/2018,1,propositiva,defensiva,protesto
38574,Professores Rede Municipal,Uberlândia/MG,,categoria,poder executivo/municipal,5/4/2015,1,-,defensiva,-
38575,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Jaboatão dos Guararapes/PE,,categoria,poder executivo/municipal,5/21/2018,16,propositiva,-,-
38578,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Porto Grande/AP,,categoria,poder executivo/municipal,6/18/2018,1,-,defensiva,protesto
38579,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Nova Friburgo/RJ,,categoria,poder executivo/municipal,5/8/2018,10,propositiva,defensiva,-
38582,Professores Rede Municipal,Belo Horizonte/MG,,categoria,poder executivo/municipal,4/23/2018,53,propositiva,defensiva,-
38583,Professores Rede Municipal,Belo Horizonte/MG,,categoria,poder executivo/municipal,5/17/2018,7,propositiva,-,-
38584,Auxiliares de Administração Escolar Rede Municipal ,Ubirajara/SP,Empregador não identificado,categoria,poder executivo/municipal,9/18/2014,1,-,defensiva,-
38597,Auxiliares de Administração Escolar Rede Estadual Ensino Superior,BA,Universidade Estadual do Sudoeste da Bahia,categoria,poder executivo/estadual,5/5/2015,1,propositiva,-,-
38601,"Auxiliares de Administração Escolar Rede Estadual, Professores Rede Estadual",MT,Empregador não identificado,categoria,poder executivo/estadual,9/23/2014,15,propositiva,defensiva,-
38604,Professores Rede Municipal,Afrânio/PE,,categoria,poder executivo/municipal,5/6/2015,2,propositiva,-,-
38612,Professores Rede Municipal,Canoas/RS,,categoria,poder executivo/municipal,5/6/2015,1,propositiva,-,-
38619,Professores Rede Municipal,Canabrava do Norte/MT,,categoria,poder executivo/municipal,4/15/2015,21,-,defensiva,-
38630,Professores Rede Estadual,MG,,categoria,poder executivo/estadual,5/16/2018,1,-,defensiva,-
38631,Professores Rede Estadual,MG,,categoria,poder executivo/estadual,6/11/2018,15,-,defensiva,-
38632,Professores Rede Estadual,PI,,categoria,poder executivo/estadual,6/7/2018,78,propositiva,defensiva,protesto
38634,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Niterói/RJ,,categoria,poder executivo/municipal,5/15/2018,16,propositiva,defensiva,protesto
38637,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Camaçari/BA,,categoria,poder executivo/municipal,5/25/2018,1,propositiva,defensiva,-
38642,Professores Rede Municipal,Janaúba/MG,,categoria,poder executivo/municipal,6/18/2018,2,-,defensiva,-
38648,Professores Rede Municipal,Poá/SP,,categoria,poder executivo/municipal,6/5/2018,18,propositiva,defensiva,protesto
38652,Professores Rede Municipal,Santa Rita/PB,,categoria,poder executivo/municipal,4/27/2015,11,propositiva,-,-
38653,Professores Rede Municipal,Maribondo/AL,,categoria,poder executivo/municipal,6/11/2018,1,propositiva,-,-
38655,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",São José da Tapera/AL,,categoria,poder executivo/municipal,6/12/2018,31,propositiva,-,-
38659,Professores Rede Municipal,Nova Ubiratã/MT,,categoria,poder executivo/municipal,6/13/2018,1,-,defensiva,-
38660,Professores Rede Estadual,ES,,categoria,poder executivo/estadual,5/8/2015,1,-,defensiva,-
38661,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Senador Canedo/GO,,categoria,poder executivo/municipal,5/9/2018,1,propositiva,defensiva,-
38663,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Senador Canedo/GO,,categoria,poder executivo/municipal,6/13/2018,1,propositiva,defensiva,-
38666,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Petrópolis/RJ,,categoria,poder executivo/municipal,6/13/2018,2,propositiva,defensiva,protesto
38669,Professores Rede Municipal,Olinda/PE,,categoria,poder executivo/municipal,6/6/2018,16,propositiva,defensiva,protesto
38670,Professores Rede Municipal,Santa Rita do Pardo/MS,,categoria,poder executivo/municipal,6/13/2018,1,propositiva,-,-
38671,Professores Rede Estadual Ensino Superior,RN,UERN - UNIVERSIDADE ESTADUAL DO RIO GRANDE DO NORTE,categoria,poder executivo/estadual,9/24/2014,1,propositiva,-,-
38675,Professores Rede Municipal,Cabo de Santo Agostinho/PE,,categoria,poder executivo/municipal,5/15/2018,18,propositiva,defensiva,-
38680,Professores Rede Municipal,Floriano/PI,Empregador não identificado,categoria,poder executivo/municipal,9/24/2014,1,propositiva,-,-
38681,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Manaus/AM,,categoria,poder executivo/municipal,6/13/2018,1,propositiva,defensiva,protesto
38682,Professores Rede Municipal,São Luís/MA,,categoria,poder executivo/municipal,5/30/2018,16,propositiva,defensiva,protesto
38685,Professores Rede Estadual,PB,,categoria,poder executivo/estadual,4/25/2018,1,propositiva,-,-
38687,Professores Rede Municipal,Novo Lino/AL,,categoria,poder executivo/municipal,6/14/2018,1,propositiva,-,-
38692,Professores Rede Municipal,Ipirá/BA,,categoria,poder executivo/municipal,9/23/2014,2,-,defensiva,-
38695,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Ananindeua/PA,,categoria,poder executivo/municipal,4/17/2018,21,propositiva,defensiva,protesto
38703,Professores Rede Municipal,Matinhos/PR,,categoria,poder executivo/municipal,4/27/2015,32,propositiva,defensiva,-
38707,Professores Rede Municipal,Itacaré/BA,,categoria,poder executivo/municipal,4/17/2018,1,propositiva,defensiva,-
38710,Professores Rede Municipal,São Mateus do Maranhão/MA,,categoria,poder executivo/municipal,4/12/2018,1,-,defensiva,protesto
38712,Professores Rede Municipal,Vargem Grande/MA,,categoria,poder executivo/municipal,5/4/2018,7,propositiva,-,-
38716,Professores Rede Municipal,Santo Antônio do Descoberto/GO,,categoria,poder executivo/municipal,5/8/2018,30,-,defensiva,-
38721,Professores Rede Estadual,Santarém/PA,,categoria,poder executivo/municipal,9/30/2014,1,propositiva,defensiva,protesto
38727,Professores Rede Municipal,São Luís/MA,,categoria,poder executivo/municipal,4/25/2018,1,-,defensiva,protesto
38729,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Alto Paraguai/MT,,categoria,poder executivo/municipal,6/18/2018,8,propositiva,defensiva,protesto
38731,Professores Rede Municipal,Volta Redonda/RJ,,categoria,poder executivo/municipal,4/25/2018,1,propositiva,defensiva,-
38732,Professores Rede Municipal,Volta Redonda/RJ,,categoria,poder executivo/municipal,5/2/2018,1,propositiva,defensiva,-
38735,Professores Rede Municipal,Osasco/SP,,categoria,poder executivo/municipal,4/26/2018,1,propositiva,-,-
38736,Professores Rede Municipal,Curralinho/PA,,categoria,poder executivo/municipal,6/18/2018,1,-,defensiva,-
38737,Professores Rede Municipal,Curionópolis/PA,,categoria,poder executivo/municipal,6/18/2018,1,propositiva,-,-
38740,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Dourados/MS,,categoria,poder executivo/municipal,6/19/2018,2,propositiva,defensiva,-
38743,Professores Rede Municipal,Ariquemes/RO,,categoria,poder executivo/municipal,4/24/2018,2,propositiva,-,-
38744,Professores Rede Municipal,Regeneração/PI,,categoria,poder executivo/municipal,4/26/2018,7,-,defensiva,-
38746,Professores Rede Municipal,Brejo da Madre de Deus/PE,,categoria,poder executivo/municipal,5/14/2018,2,propositiva,defensiva,protesto
38761,Auxiliares de Administração Escolar Rede Federal Ensino Superior,PE,,categoria,poder executivo/federal,10/1/2014,1,-,-,-
38762,Auxiliares de Administração Escolar Rede Federal Ensino Superior,PE,"Hospital das Clínicas da Universidade Federal de Pernambuco, Universidade Federal PE",categoria,poder executivo/federal,9/17/2014,2,propositiva,-,-
38763,Professores Rede Municipal,Sinop/MT,,categoria,poder executivo/municipal,4/16/2018,10,propositiva,defensiva,-
38771,Professores Rede Municipal,Linhares/ES,,categoria,poder executivo/municipal,4/23/2018,8,propositiva,-,-
38772,Professores Rede Municipal,São Félix/BA,,categoria,poder executivo/municipal,2/22/2018,1,propositiva,defensiva,-
38773,Professores Rede Municipal,São Félix/BA,,categoria,poder executivo/municipal,4/5/2018,13,-,defensiva,-
38774,Professores Rede Municipal,Tangará da Serra/MT,,categoria,poder executivo/municipal,4/24/2018,1,propositiva,defensiva,-
38775,Professores Rede Municipal,Cubatão/SP,,categoria,poder executivo/municipal,5/22/2018,15,propositiva,defensiva,-
38776,Professores Rede Municipal,Areia Branca/RN,,categoria,poder executivo/municipal,4/9/2018,60,-,defensiva,-
38777,Professores Rede Federal,BA,Instituto Federal da Bahia,categoria,poder executivo/federal,4/12/2015,110,-,defensiva,-
38778,"Auxiliares de Administração Escolar Rede Estadual, Professores Rede Estadual",AP,,categoria,poder executivo/estadual,4/4/2018,1,propositiva,-,-
38782,Professores Rede Estadual,PA,,categoria,poder executivo/estadual,5/2/2018,43,propositiva,defensiva,protesto
38783,Professores Rede Municipal,Fortaleza/CE,,categoria,poder executivo/municipal,4/18/2018,23,-,defensiva,protesto
38784,Professores Rede Estadual,PB,,categoria,poder executivo/estadual,5/30/2018,1,-,-,protesto
38785,Professores Rede Estadual,SE,,categoria,poder executivo/estadual,5/8/2018,1,propositiva,defensiva,-
