code,year,hlo,eys,lays
211020,2017,.56774265,10.650001,.62108755
211023,2017,.56112111,9.9280005,.59789795
211027,2017,.56401616,10.417999,.61267149
211030,2017,.58023876,10.810999,.63244426
211040,2017,.5234611,11.202,.61207825
211050,2017,.57713187,10.841999,.63165057
211060,2017,.56308353,10.895,.62549222
211065,2017,.69704354,10.762001,.69776469
211070,2017,.58581823,11.083,.64365649
211080,2017,.56134403,11.363999,.63783801
211085,2017,.61006403,11.059999,.65690535
211090,2017,.55135924,10.448,.60704529
211100,2017,.54777217,10.515999,.60703415
211102,2017,.55764484,11.73,.64616132
211105,2017,.56644946,10.628001,.61978543
211107,2017,.54283834,10.337,.59983873
211110,2017,.62639475,10.721998,.65527272
211120,2017,.58027124,11.106,.64118284
211125,2017,.59653759,9.986001,.61665964
211130,2017,.62015259,10.938,.65879577
211140,2017,.55202949,10.927999,.62039816
211150,2017,.56406355,10.523999,.61563337
211153,2017,.55749738,10.734,.61800063
211157,2017,.61377698,10.127,.62955475
211160,2017,.62748849,11.329,.6761809
211163,2017,.59474814,10.025,.61692244
211167,2017,.58197117,10.165999,.61465478
211170,2017,.55705196,10.417001,.60909855
211172,2017,.59248734,10.681,.63525331
211174,2017,.56875074,10.948,.63010716
211176,2017,.57522333,10.054001,.6081484
211178,2017,.55473089,10.412001,.60778666
211180,2017,.58361006,11.291999,.64869666
211190,2017,.55923831,10.469999,.61165798
211195,2017,.56638682,10.843999,.62584776
211200,2017,.60810101,10.830999,.64850038
211210,2017,.57887805,10.844,.63266659
211220,2017,.5812279,10.852999,.63422292
211223,2017,.58255374,11.165,.64425349
211227,2017,.50788647,11.575001,.61281198
211230,2017,.56285751,10.665999,.61895359
211240,2017,.53514701,10.643,.60389531
211245,2017,.58899057,10.462,.62685597
211250,2017,.56807208,10.282,.61095828
211260,2017,.5301137,11.014,.61084855
211270,2017,.55546379,11.353999,.63415545
211280,2017,.58197254,11.058999,.6407491
211285,2017,.58367538,10.254001,.61804169
211290,2017,.5529083,10.657,.61347699
211300,2017,.59381831,10.53,.63143045
211400,2017,.57715106,10.761999,.62933218
220000,2017,,,
220005,2017,.59742272,10.79,.64126998
220010,2017,.67083013,10.732,.68109596
