FID,NM_MUNICIP,CD_GEOCMU,x_cent,y_cent
337,NICOLAU VERGUEIRO,4312674,-52.448403584700003,-28.520976035299999
338,NONOAI,4312708,-52.857262344900001,-27.369495826500000
339,NOVA ALVORADA,4312757,-52.171367975599999,-28.708020634000000
340,NOVA ARAÇÁ,4312807,-51.746112412000002,-28.651426222100000
341,NOVA BASSANO,4312906,-51.754132840300002,-28.725999637299999
342,NOVA BOA VISTA,4312955,-52.979489809400000,-27.997060812499999
343,NOVA BRÉSCIA,4313003,-52.035305014899997,-29.222182506500001
344,NOVA CANDELÁRIA,4313011,-54.124848044200000,-27.595808592600001
345,NOVA ESPERANÇA DO SUL,4313037,-54.821540600500001,-29.403339062499999
346,NOVA PALMA,4313102,-53.416320749800001,-29.433482359300001
347,NOVA PRATA,4313300,-51.608455131400000,-28.760862550100001
348,NOVA RAMADA,4313334,-53.703544929200000,-28.076411880199998
349,NOVO CABRAIS,4313391,-52.995511582900001,-29.760405642700000
350,NOVO MACHADO,4313425,-54.536970416099997,-27.544940715799999
351,NOVO TIRADENTES,4313441,-53.167121812399998,-27.561813735699999
352,NOVO XINGU,4313466,-53.057886050000000,-27.744608840800002
353,NOVO BARREIRO,4313490,-53.115895784800003,-27.899565618200000
354,PAIM FILHO,4313607,-51.780298039700000,-27.722126155300000
355,PALMEIRA DAS MISSÕES,4313706,-53.382110701899997,-27.940154581700000
356,PALMITINHO,4313805,-53.587641597000001,-27.327926488399999
357,PANAMBI,4313904,-53.507423883400001,-28.329984754300000
358,PANTANO GRANDE,4313953,-52.370959512399999,-30.257757458600000
359,PARAÍ,4314001,-51.788592315899997,-28.601006673000001
360,PARAÍSO DO SUL,4314027,-53.121383532400003,-29.696473782300000
361,PASSA SETE,4314068,-52.870430148099999,-29.439543304200001
362,PASSO DO SOBRADO,4314076,-52.245136471700000,-29.759259966199998
363,PASSO FUNDO,4314100,-52.452466464799997,-28.268973356600000
364,PAULO BENTO,4314134,-52.395320561799998,-27.710318994200001
365,PAVERAMA,4314159,-51.728350155199998,-29.569266145699999
366,PEDRAS ALTAS,4314175,-53.691051961600003,-31.839106545000000
367,PEDRO OSÓRIO,4314209,-52.872614093300001,-31.960406703200000
368,PEJUÇARA,4314308,-53.593502979900002,-28.454370591400000
369,PELOTAS,4314407,-52.341155831499997,-31.581167679499998
370,PINHAL,4314456,-53.235049975300001,-27.528965458700000
371,PINHAL GRANDE,4314472,-53.335807503300003,-29.291897676000001
372,PINHEIRINHO DO VALE,4314498,-53.633955578100000,-27.221830758599999
373,PINHEIRO MACHADO,4314506,-53.413423677399997,-31.405363694100000
374,PIRAPÓ,4314555,-55.244154239700002,-28.065529829799999
375,PIRATINI,4314605,-53.103226949400003,-31.438938700400001
376,PLANALTO,4314704,-53.078086990199999,-27.335313685799999
377,POÇO DAS ANTAS,4314753,-51.640816035599997,-29.446117852400000
378,PONTÃO,4314779,-52.641496920400002,-28.036702109899998
379,PONTE PRETA,4314787,-52.506034506500001,-27.654879096599998
380,PORTO LUCENA,4315008,-54.959047454400000,-27.850767975499998
381,PORTO MAUÁ,4315057,-54.657050174500000,-27.591900938500000
382,PORTO VERA CRUZ,4315073,-54.891074293000003,-27.754824797700000
383,PORTO XAVIER,4315107,-55.143306605100001,-27.932045851400002
384,POUSO NOVO,4315131,-52.228576926800002,-29.158372915800001
385,PROGRESSO,4315156,-52.318974126999997,-29.224418511300001
386,PROTÁSIO ALVES,4315172,-51.487445124200001,-28.737229631200002
