ibge,ano,n_families_pbf,value_pbf
171180,2004,0,0
171190,2004,313.3333333333333,279045
171195,2004,128.6666666666667,121946
171200,2004,50.16666666666666,41650
171215,2004,37.25,30464
171240,2004,145.8333333333333,143516
171245,2004,116.4166666666667,105726
171250,2004,257.5833333333333,242173
171270,2004,0,0
171280,2004,191.5833333333333,170859
171320,2004,370.0833333333333,323840
171330,2004,183.8333333333333,154501
171360,2004,90.83333333333333,80006
171370,2004,26.25,26310
171380,2004,30.83333333333333,27761
171395,2004,129.6666666666667,110481
171420,2004,330.25,308897
171430,2004,128.75,121596
171488,2004,555.4166666666666,485187
171500,2004,271.3333333333333,221349
171510,2004,116.0833333333333,103334
171515,2004,124.1666666666667,104472
171525,2004,0,0
171550,2004,0,0
171570,2004,143.25,125691
171575,2004,274.9166666666667,230540
171610,2004,743.0833333333334,623145
171620,2004,908.25,806547
171630,2004,253.4166666666667,236469
171650,2004,59.91666666666666,45649
171660,2004,328.9166666666667,275509
171665,2004,378.0833333333333,353057
171670,2004,323.3333333333333,269423
171700,2004,57.66666666666666,53902
171720,2004,71.08333333333333,63226
171750,2004,237.1666666666667,210468
171780,2004,181.4166666666667,172620
171790,2004,223.0833333333333,202954
171800,2004,136.4166666666667,125036
171820,2004,1844.416666666667,1573901
171830,2004,504.0833333333333,469855
171840,2004,158,136718
171845,2004,91.41666666666667,77518
171850,2004,60,58647
171855,2004,159,148619
171865,2004,20.08333333333333,19531
171870,2004,17.16666666666667,15381
171875,2004,104.6666666666667,95274
171880,2004,198.6666666666667,191936
171884,2004,4.25,3438
171886,2004,43.16666666666666,39600
171888,2004,29,21108
171889,2004,33.75,29667
171890,2004,71.83333333333333,59398
171900,2004,42.41666666666666,40871
172000,2004,185.75,167130
172010,2004,130.0833333333333,100951
172015,2004,59.08333333333334,59796
172020,2004,519.8333333333334,476551
172025,2004,124.5833333333333,113865
172030,2004,124.75,88140
172049,2004,210.8333333333333,197855
172065,2004,55.66666666666666,48489
172080,2004,707.9166666666666,642718
172085,2004,82.33333333333333,66111
172090,2004,257,231231
172093,2004,81.25,78721
172097,2004,97.41666666666667,80647
172100,2004,2668.083333333333,2193105
172110,2004,9.833333333333334,6970
172120,2004,711.0833333333334,630744
172125,2004,48,39210
172130,2004,53.08333333333334,45723
172208,2004,527.25,487110
172210,2004,447.25,398854
210005,2004,2971.75,2713518
210010,2004,610.6666666666666,578040
210015,2004,992.9166666666666,851195
210020,2004,1914.666666666667,1714842
210030,2004,2126.5,1991715
210040,2004,706.3333333333334,625241
210043,2004,1425.75,1314191
210047,2004,2310.583333333333,2235611
210050,2004,658.3333333333334,623292
210055,2004,327.5,276127
210060,2004,863.4166666666666,773845
210070,2004,811.0833333333334,712988
210080,2004,766.3333333333334,728712
210083,2004,244.1666666666667,230140
210087,2004,80.66666666666667,73690
210090,2004,3073,2976637
210095,2004,1358.833333333333,1316866
210100,2004,1954.25,1792883
210110,2004,303.3333333333333,264181
210120,2004,4028.5,3918466
210125,2004,780,733723
210130,2004,350.4166666666667,322596
210135,2004,284.6666666666667,257895
210140,2004,3121.5,2846707
210150,2004,962,822903
210160,2004,3146,2906791
210170,2004,3211.75,3093315
210173,2004,476.0833333333333,493815
210177,2004,630.1666666666666,585822
210180,2004,198,164660
210190,2004,1558.833333333333,1357988
210193,2004,241.1666666666667,223772
210197,2004,375.9166666666667,348666
210200,2004,2033.083333333333,1882103
210203,2004,678.5,636363
210207,2004,846.75,787679
210210,2004,1487.416666666667,1355600
210215,2004,686.8333333333334,648877
210220,2004,1379.5,1342787
210230,2004,1563.583333333333,1502117
210232,2004,4314.25,4097273
210235,2004,998.75,910405
210237,2004,76.66666666666667,67544
210240,2004,834,721445
210250,2004,1128.166666666667,944565
210255,2004,213.5833333333333,148846
210260,2004,143.5833333333333,140545
210270,2004,1613.333333333333,1411210
210275,2004,672.1666666666666,599479
210280,2004,1158.416666666667,901355
